Depth (m),Temperature (°C)
0.238,23.229
0.492,22.876
0.747,22.639
1.001,22.571
1.255,22.621
1.509,22.757
1.763,23.119
2.018,24.046
2.272,24.854
2.526,24.322
2.780,23.544
3.034,23.445
3.289,23.544
3.543,23.245
3.797,22.460
4.051,21.714
4.305,21.592
4.560,21.865
4.814,22.187
5.068,22.634
5.322,23.021
5.576,23.147
5.831,22.883
6.085,22.335
6.339,21.821
6.593,21.362
6.847,20.881
7.102,20.619
7.356,20.620
7.610,20.841
7.864,21.245
8.118,21.731
8.373,22.029
8.627,21.964
8.881,21.662
9.135,21.420
9.389,21.207
9.644,20.971
9.898,20.813
10.152,20.671
10.406,20.573
10.660,20.629
10.915,20.925
11.169,21.281
11.423,21.490
11.677,21.645
11.931,21.858
12.186,22.019
12.440,22.119
12.694,22.224
12.948,22.285
13.202,22.220
13.457,22.115
13.711,22.072
13.965,22.117
14.219,22.185
14.473,22.252
14.728,22.303
14.982,22.292
15.236,22.204
15.490,22.091
15.744,22.051
15.999,22.117
16.253,22.204
16.507,22.275
16.761,22.340
17.015,22.358
17.270,22.339
17.524,22.313
17.778,22.290
18.032,22.303
18.286,22.389
18.541,22.443
18.795,22.445
19.049,22.407
19.303,22.333
19.557,22.257
19.812,22.239
20.066,22.314
20.320,22.389
20.574,22.442
20.828,22.458
21.083,22.477
21.337,22.442
21.591,22.375
21.845,22.371
22.099,22.416
22.354,22.495
22.608,22.562
22.862,22.502
23.116,22.420
23.370,22.350
23.625,22.376
23.879,22.470
24.133,22.554
24.387,22.593
24.641,22.582
24.896,22.562
25.150,22.524
25.404,22.452
25.658,22.435
25.912,22.548
26.167,22.663
26.421,22.693
26.675,22.649
26.929,22.577
27.183,22.515
27.438,22.507
27.692,22.498
27.946,22.542
28.200,22.679
28.454,22.751
28.709,22.695
28.963,22.602
29.217,22.507
29.471,22.519
29.725,22.604
29.980,22.656
30.234,22.722
30.488,22.703
30.742,22.629
30.996,22.608
31.251,22.579
31.505,22.556
31.759,22.656
32.013,22.787
32.267,22.826
32.522,22.776
32.776,22.702
33.030,22.678
33.284,22.664
33.538,22.675
33.793,22.751
34.047,22.797
34.301,22.806
34.555,22.805
34.809,22.780
35.064,22.754
35.318,22.778
35.572,22.817
35.826,22.841
36.080,22.852
36.335,22.835
36.589,22.809
36.843,22.793
37.097,22.763
37.351,22.767
37.605,22.814
37.860,22.863
38.114,22.913
38.368,22.908
38.622,22.850
38.876,22.821
39.131,22.826
39.385,22.854
39.639,22.900
39.893,22.910
40.147,22.900
40.402,22.898
40.656,22.881
40.910,22.815
41.164,22.768
41.418,22.826
41.673,22.915
41.927,22.937
42.181,22.893
42.435,22.871
42.689,22.863
42.944,22.858
43.198,22.863
43.452,22.890
43.706,22.931
43.960,22.935
44.215,22.889
44.469,22.857
44.723,22.849
44.977,22.852
45.231,22.924
45.486,23.010
45.740,23.048
45.994,23.051
46.248,22.995
46.502,22.933
46.757,22.877
47.011,22.865
47.265,22.919
47.519,22.983
47.773,23.044
48.028,23.019
48.282,22.960
48.536,22.931
48.790,22.937
49.044,22.962
49.299,23.009
49.553,23.043
49.807,23.065
50.061,23.056
50.315,22.958
50.570,22.873
50.824,22.861
51.078,22.890
51.332,22.968
51.586,23.037
51.841,23.047
52.095,23.034
52.349,22.990
52.603,22.967
52.857,23.019
53.112,23.035
53.366,23.040
53.620,23.075
53.874,23.097
54.128,23.105
54.383,23.034
54.637,22.959
54.891,22.953
55.145,23.013
55.399,23.058
55.654,23.042
55.908,22.998
56.162,22.964
56.416,22.956
56.670,22.930
56.925,22.941
57.179,23.028
57.433,23.094
57.687,23.045
57.941,22.983
58.196,22.972
58.450,22.996
58.704,23.015
58.958,23.019
59.212,23.042
59.467,23.053
59.721,23.045
59.975,23.007
60.229,22.969
60.483,22.952
60.738,22.948
60.992,22.967
61.246,22.976
61.500,22.975
61.754,22.968
62.009,22.971
62.263,23.015
62.517,23.060
62.771,23.048
63.025,23.035
63.280,23.024
63.534,22.989
63.788,22.966
64.042,22.959
64.296,22.987
64.551,23.030
64.805,23.049
65.059,23.032
65.313,23.014
65.567,22.993
65.822,22.965
66.076,22.965
66.330,22.956
66.584,22.944
66.838,22.993
67.093,23.037
67.347,22.990
67.601,22.966
67.855,22.949
68.109,22.954
68.364,23.008
68.618,23.014
68.872,23.006
69.126,23.029
69.380,23.004
69.635,22.949
69.889,22.889
70.143,22.881
70.397,22.932
70.651,22.987
70.906,22.967
71.160,22.926
71.414,22.927
71.668,22.924
71.922,22.896
72.177,22.909
72.431,22.943
72.685,22.993
72.939,23.025
73.193,23.033
73.448,22.979
73.702,22.903
73.956,22.856
74.210,22.850
74.464,22.927
74.719,23.009
74.973,23.024
75.227,22.975
75.481,22.910
75.735,22.907
75.990,22.920
76.244,22.862
76.498,22.845
76.752,22.875
77.006,22.920
77.261,22.892
77.515,22.878
77.769,22.878
78.023,22.866
78.277,22.913
78.532,22.911
78.786,22.894
79.040,22.900
79.294,22.878
79.548,22.825
79.803,22.795
80.057,22.796
80.311,22.806
80.565,22.790
80.819,22.796
81.074,22.832
81.328,22.810
81.582,22.776
81.836,22.768
82.090,22.810
82.345,22.819
82.599,22.796
82.853,22.787
83.107,22.803
83.361,22.794
83.616,22.787
83.870,22.830
84.124,22.812
84.378,22.760
84.632,22.756
84.887,22.778
85.141,22.753
85.395,22.773
85.649,22.744
85.903,22.715
86.158,22.748
86.412,22.766
86.666,22.722
86.920,22.689
87.174,22.673
87.429,22.689
87.683,22.705
87.937,22.691
88.191,22.669
88.445,22.665
88.700,22.710
88.954,22.731
89.208,22.699
89.462,22.667
89.716,22.676
89.971,22.686
90.225,22.651
90.479,22.662
90.733,22.709
90.987,22.652
91.242,22.586
91.496,22.598
91.750,22.622
92.004,22.612
92.258,22.600
92.513,22.607
92.767,22.636
93.021,22.675
93.275,22.672
93.529,22.630
93.784,22.569
94.038,22.539
94.292,22.568
94.546,22.587
94.800,22.537
95.055,22.497
95.309,22.518
95.563,22.507
95.817,22.497
96.071,22.525
96.326,22.544
96.580,22.547
96.834,22.553
97.088,22.498
97.342,22.447
97.597,22.463
97.851,22.480
98.105,22.456
98.359,22.480
98.613,22.499
98.868,22.508
99.122,22.470
99.376,22.392
99.630,22.354
99.884,22.387
100.139,22.396
100.393,22.369
100.647,22.375
100.901,22.381
101.155,22.356
101.410,22.330
101.664,22.322
101.918,22.320
102.172,22.305
102.426,22.298
102.681,22.310
102.935,22.307
103.189,22.323
103.443,22.348
103.697,22.341
103.952,22.345
104.206,22.371
104.460,22.337
104.714,22.276
104.968,22.225
105.223,22.245
105.477,22.309
105.731,22.315
105.985,22.250
106.239,22.211
106.494,22.184
106.748,22.166
107.002,22.188
107.256,22.223
107.510,22.253
107.764,22.251
108.019,22.200
108.273,22.144
108.527,22.143
108.781,22.149
109.035,22.128
109.290,22.097
109.544,22.106
109.798,22.114
110.052,22.135
110.306,22.134
110.561,22.110
110.815,22.100
111.069,22.093
111.323,22.091
111.577,22.107
111.832,22.091
112.086,22.024
112.340,21.963
112.594,21.951
112.848,21.968
113.103,21.968
113.357,21.987
113.611,22.069
113.865,22.122
114.119,22.113
114.374,22.095
114.628,22.089
114.882,22.079
115.136,22.109
115.390,22.176
115.645,22.191
115.899,22.127
116.153,22.175
116.407,22.250
116.661,22.219
116.916,22.138
117.170,22.143
117.424,22.178
117.678,22.191
117.932,22.210
118.187,22.230
118.441,22.234
118.695,22.212
118.949,22.211
119.203,22.231
119.458,22.263
119.712,22.280
119.966,22.267
120.220,22.239
120.474,22.230
120.729,22.249
120.983,22.293
121.237,22.276
121.491,22.246
121.745,22.303
122.000,22.331
122.254,22.278
122.508,22.270
122.762,22.298
123.016,22.307
123.271,22.357
123.525,22.412
