Depth [m],FBE5 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,11335.1631,11186.918
-231.16187,11831.249,11519.125
-230.14091,11532.5518,11304.0703
-229.11996,11149.2227,11013.127
-228.099,11603.9707,11824.1572
-227.07805,11659.1846,11708.0986
-226.0571,11493.5781,11612.917
-225.03615,11843.501,11372.2959
-224.0152,11320.1582,11292.7588
-222.99425,11658.8193,11796.1201
-221.9733,11709.0518,11559.0264
-220.95235,11535.5273,11402.8574
-219.9314,11900.2529,11566.9727
-218.91043,11106.1641,10908.6543
-217.88948,11530.8789,11118.1982
-216.86853,11784.6963,11663.1025
-215.84758,11393.8301,11532.7021
-214.82663,11568.3037,11269.8242
-213.80568,11302.3301,11684.333
-212.78473,11742.584,11255.7197
-211.76378,11794.7256,11557.8818
-210.74283,11488.7812,11455.4785
-209.72186,11577.0205,11235.1045
-208.70091,11020.4111,11057.791
-207.67996,11642.6084,12111.1562
-206.65901,11475.5117,12104.2178
-205.63806,11772.4736,11287.0078
-204.61711,11850.6416,11611.3828
-203.59616,11084.4297,11406.9072
-202.57521,11689.8604,11621.6836
-201.55426,11537.9326,11189.6748
-200.53329,11506.7275,11524.0918
-199.51234,11444.2695,11604.96
-198.49139,11304.1719,11428.3691
-197.47044,10832.6143,11263.0352
-196.44949,10640.0156,10565.0283
-195.42854,11369.7549,11181.249
-194.40759,11436.9766,11157.9854
-193.38664,11314.75,11899.1846
-192.36569,11729.0645,11666.6465
-191.34473,10072.2031,10031.4756
-190.32378,11251.1035,11451.8984
-189.30283,11590.3838,11706.2139
-188.28188,11436.7266,11420.3008
-187.26093,11627.1445,11500.5684
-186.23997,11692.5342,11659.1299
-185.21902,11145.1934,11583.5957
-184.19807,11289.4785,11637.2451
-183.17712,11120.1572,11345.0771
-182.15616,11006.3145,11527.043
-181.13521,11920.2646,11709.2568
-180.11426,11335.251,11601.876
-179.09331,11653.6426,11453.2842
-178.07236,11811.8799,11437.7021
-177.05141,11317.5684,11317.1104
-176.03046,11122.168,11249.7334
-175.00951,11562.8271,11917.2949
-173.98856,11071.6543,11257.8984
-172.96759,11202.5508,11315.1719
-171.94664,11778.4824,11601.7217
-170.92569,11618.666,11530.1309
-169.90474,11650.0352,11494.9326
-168.88379,11705.8066,11300.4336
-167.86284,11288.8486,11533.7949
-166.84189,11926.7939,11480.3213
-165.82094,11634.4121,12032.0693
-164.79999,11533.3135,11567.9785
-163.77902,11533.168,11340.8711
-162.75807,11385.752,11745.5752
-161.73712,11433.0625,11329.376
-160.71617,11746.8203,11701.167
-159.69522,11797.1553,11539.6299
-158.67427,11358.4307,11570.7109
-157.65332,11479.2842,11346.1738
-156.63237,11191.8691,11532.8223
-155.61142,12004.0576,11484.1016
-154.59045,11309.0635,11408.1133
-153.5695,11691.5635,11540.8008
-152.54855,11672.5459,11075.374
-151.5276,11932.9219,11428.9824
-150.50665,11500.2939,11052.291
-149.4857,11885.2881,11488.3809
-148.46475,11370.5615,11391.1641
-147.4438,11238.1465,11038.0664
-146.42285,11521.7041,11739.7109
-145.40189,11475.1631,11193.5439
-144.38094,11496.5322,11427.917
-143.35999,11633.8564,11587.9385
-142.33904,10919.7051,11742.334
-141.31808,11399.0928,11415.2383
-140.29713,11120.6846,11623.5664
-139.27618,11602.249,11263.9521
-138.25523,11618.9229,11614.752
-137.23428,11217.9395,11612.4873
-136.21332,11603.502,11483.5879
-135.19237,11694.7402,11543.8008
-134.17142,11678.7949,11819.4219
-133.15047,11692.2676,11699.2266
-132.12952,11560.0928,11142.7949
-131.10857,11312.1338,11475.1621
-130.08762,11420.5723,11789.5781
-129.06667,11494.6885,11766.8779
-128.04572,11286.0186,11752.9707
-127.02476,11341.2656,10782.3926
-126.00381,11011.7451,11595.2588
-124.98286,11809.1865,11733.1445
-123.9619,11515.9502,11611.8174
-122.94095,11749.5889,11556.0342
-121.92,11450.8301,11370.71
-120.89905,12124.2246,11417.543
-119.87809,11801.9717,11430.5713
-118.85714,11687.6221,11457.5186
-117.83619,11614.8379,11554.9443
-116.81524,11274.7227,11512.8662
-115.79429,11237.0684,11464.3555
-114.77333,794.0897,366.2275
-113.75238,758.3226,267.1274
-112.73143,770.9998,310.716
-111.71048,880.0997,496.655
-110.68952,815.3229,441.082
-109.66857,820.473,373.3222
-108.64762,873.7061,517.0695
-107.62667,827.6806,445.4805
-106.60572,809.817,382.1686
-105.58476,876.489,496.6689
-104.56381,2010.517,1756.0408
-103.54286,1673.4711,1476.7041
-102.52191,1619.2366,1473.8771
-101.50095,3043.9275,2615.4644
-100.48,2079.2773,1704.5253
-99.45905,2267.1953,2922.981
-98.4381,970.6916,714.6708
-97.41715,764.8129,317.4675
-96.39619,744.1657,252.7559
-95.37524,709.2538,81.2769
-94.35429,712.9265,79.9732
-93.33334,721.7999,90.4705
-92.31239,740.7816,232.2207
-91.29144,719.3754,157.3763
-90.27048,724.3215,139.298
-89.24953,712.366,90.0872
-88.22858,716.5364,76.8707
-87.20763,716.7466,97.8601
-86.18668,714.9116,77.4623
-85.16573,973.5674,456.4251
-84.14478,728.0258,156.7956
-83.12382,717.7353,80.1413
-82.10287,715.7181,96.1659
-81.08192,740.5701,207.0641
-80.06097,728.7979,183.7841
-79.04002,735.9461,242.9335
-78.01906,3302.2166,3108.9104
-76.99811,784.7126,265.8603
-75.97716,720.9258,95.1462
-74.95621,726.8451,152.2046
-73.93525,717.5964,111.8467
-72.9143,738.947,250.8301
-71.89335,720.5802,184.8093
-70.8724,756.8043,183.4577
-69.85145,744.8801,197.3501
-68.83049,737.9651,190.2794
