Depth [m],SSTR [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
-232.18282,-1596.7969,-1024.1588
-231.16187,404.6959,-129.0514
-230.14091,-987.2886,621.8787
-229.11996,-873.7737,-372.1062
-228.099,285.6344,-1021.3197
-227.07805,-1446.4613,-715.3541
-226.0571,-449.6189,-663.2292
-225.03615,-1180.528,-164.2606
-224.0152,-989.2597,670.2852
-222.99425,-102.9132,1391.0144
-221.9733,48.0525,-860.6345
-220.95235,900.4047,-464.7703
-219.9314,-1060.7231,304.1758
-218.91043,240.7184,-399.9805
-217.88948,-1180.4869,-1517.9418
-216.86853,329.5436,51.9989
-215.84758,-598.4125,69.1426
-214.82663,-118.7782,-1155.7067
-213.80568,-1056.7385,-167.3476
-212.78473,-1279.8743,-183.9787
-211.76378,-169.895,721.695
-210.74283,-127.4839,-584.4052
-209.72186,-163.942,5.9529
-208.70091,248.6254,85.8459
-207.67996,-543.4894,-1105.5896
-206.65901,76.9392,-938.0098
-205.63806,-385.2724,-859.4592
-204.61711,-952.633,-660.3476
-203.59616,579.0867,-509.0831
-202.57521,-1371.3757,-16.1242
-201.55426,-592.165,-532.1359
-200.53329,-869.6177,-40.5363
-199.51234,-521.1547,837.2108
-198.49139,108.9426,-81.0612
-197.47044,-1176.2219,-305.6993
-196.44949,-2.049,23.8698
-195.42854,-755.0068,-264.5429
-194.40759,-182.8727,-993.8292
-193.38664,-1055.3494,-1561.4177
-192.36569,-792.4434,-513.6809
-191.34473,-946.9095,-411.9557
-190.32378,-1002.634,-854.1223
-189.30283,-861.2377,663.011
-188.28188,-425.1233,-1115.8997
-187.26093,-636.6349,-329.5677
-186.23997,-250.8996,632.9576
-185.21902,-709.8416,993.3024
-184.19807,-1443.349,92.8977
-183.17712,-1091.1263,-708.5827
-182.15616,-717.0264,-365.5798
-181.13521,586.297,-413.8235
-180.11426,-841.9218,-611.3959
-179.09331,-696.5905,-528.6751
-178.07236,-524.7202,-199.3467
-177.05141,-177.0742,-278.0049
-176.03046,-940.1862,-1347.3983
-175.00951,-1504.8706,-937.0186
-173.98856,-1266.3782,-602.9097
-172.96759,-1120.4719,-569.8925
-171.94664,-607.0898,-454.449
-170.92569,284.0131,-92.5805
-169.90474,118.42,-600.8494
-168.88379,-6.4301,-384.924
-167.86284,-687.2476,-487.7621
-166.84189,-1142.7233,-448.1208
-165.82094,-752.5996,-1063.752
-164.79999,884.6996,550.0895
-163.77902,-794.6028,-581.9994
-162.75807,-367.4433,-1253.9342
-161.73712,-447.6833,-614.6088
-160.71617,-679.8503,-85.0586
-159.69522,423.2584,-981.4106
-158.67427,604.8666,557.3607
-157.65332,-961.3018,900.6539
-156.63237,-969.6125,-380.5868
-155.61142,-1049.201,-206.2625
-154.59045,-800.1947,531.1107
-153.5695,-399.3603,-666.1773
-152.54855,19.701,91.0484
-151.5276,-620.9653,56.1818
-150.50665,-784.6213,-239.7753
-149.4857,-1158.8361,-439.8343
-148.46475,-1056.264,-1480.9584
-147.4438,-1816.1079,236.8852
-146.42285,-804.2403,-1134.5868
-145.40189,-56.1663,-329.2194
-144.38094,-568.8234,-842.6752
-143.35999,-167.8333,-451.7189
-142.33904,-1368.2053,-290.0524
-141.31808,-336.9069,-1086.9138
-140.29713,-603.1887,-1019.0682
-139.27618,-177.8586,336.754
-138.25523,-144.5171,403.9751
-137.23428,-680.1817,-8.9747
-136.21332,-882.4991,30.3155
-135.19237,63.4899,-590.3369
-134.17142,-825.7977,507.922
-133.15047,-673.9668,-1263.0308
-132.12952,-549.441,37.8699
-131.10857,-252.8961,-864.9533
-130.08762,-199.089,-520.6576
-129.06667,-1403.7487,-674.2033
-128.04572,-5.7419,-308.5045
-127.02476,-897.6392,450.4091
-126.00381,-2009.3813,13.4748
-124.98286,-1346.3901,-601.2686
-123.9619,-1260.0004,-1277.198
-122.94095,-774.1853,-1134.448
-121.92,-688.4965,-615.1384
-120.89905,-1097.3569,619.773
-119.87809,-556.6655,-1175.5719
-118.85714,15.6569,-82.1445
-117.83619,160.8311,-1399.3096
-116.81524,-1265.1589,-982.2759
-115.79429,-323.2764,-411.6273
-114.77333,-37.1039,0.5423
-113.75238,-35.9895,-0.1331
-112.73143,-35.9725,1.6921
-111.71048,-36.107,-0.5593
-110.68952,-36.5714,2.1438
-109.66857,-32.7652,-1.8451
-108.64762,-35.3452,5.0835
-107.62667,-36.5134,0.936
-106.60572,-36.3675,-0.8737
-105.58476,-35.2347,-0.4503
-104.56381,-20.9174,-18.8939
-103.54286,-20.671,-23.52
-102.52191,-19.5778,-24.5438
-101.50095,-12.9466,33.7394
-100.48,-21.2417,-22.1946
-99.45905,-118.4214,97.664
-98.4381,-42.0103,-0.4262
-97.41715,-35.0648,-2.614
-96.39619,-31.3633,-4.2084
-95.37524,-32.8459,-2.5771
-94.35429,-32.6519,-2.7542
-93.33334,-34.4318,-0.9601
-92.31239,-34.6867,-2.1254
-91.29144,-35.0464,0.6953
-90.27048,-32.5372,-1.6482
-89.24953,-34.6995,-0.4885
-88.22858,-34.9289,0.6103
-87.20763,-35.6978,-0.1798
-86.18668,-36.1041,0.6174
-85.16573,-34.2194,-2.5672
-84.14478,-35.7601,0.6754
-83.12382,-34.7292,-0.0439
-82.10287,-35.5689,0.6117
-81.08192,-34.4177,-2.1665
-80.06097,-35.8209,2.5163
-79.04002,-35.4485,1.3155
-78.01906,-112.3693,-8.7807
-76.99811,-30.9173,-5.2761
-75.97716,-34.817,0.4602
-74.95621,-35.5661,1.5689
-73.93525,-34.9841,-1.0181
-72.9143,-36.8405,1.2518
-71.89335,-34.9416,-1.4273
-70.8724,-33.3571,-0.7292
-69.85145,-33.9561,1.341
-68.83049,-34.2124,0.5154
-67.80954,-34.6173,-0.0283
-66.78859,-36.6521,6.685
-65.76764,-35.8422,0.9247
-64.74668,-35.6539,1.4542
-63.72573,-34.1543,0.2053
-62.70478,-35.2885,0.0312
-61.68383,-42.2596,10.4162
-60.66288,-36.376,1.1526
-59.64193,-35.988,1.239
-58.62097,-36.2783,1.6893
-57.60002,-35.2914,0.3243
-56.57907,-34.5904,-1.0379
-55.55812,-35.5831,-0.1104
-54.53717,-34.9189,-3.0671
-53.51621,-34.9543,0.3044
-52.49526,-35.2956,1.7063
-51.47431,-35.6312,0.8085
-50.45336,-35.2163,1.8989
-49.4324,-35.3338,0.2733
-48.41145,-34.9034,1.0337
-47.3905,-35.0917,-1.0139
-46.36955,-34.7165,1.0252
-45.3486,-35.1922,0.1784
-44.32764,-35.9116,1.838
-43.30669,-35.3395,0.4375
-42.28574,-33.3472,-2.1084
-41.26479,-35.5731,1.2574
-40.24384,-35.1313,-0.262
-39.22289,-34.3327,0.0042
