Depth,2023-07-16 05:53:18
-232.18282,-1596.7969
-231.16187,404.6959
-230.14091,-987.2886
-229.11996,-873.7737
-228.099,285.6344
-227.07805,-1446.4613
-226.0571,-449.6189
-225.03615,-1180.528
-224.0152,-989.2597
-222.99425,-102.9132
-221.9733,48.0525
-220.95235,900.4047
-219.9314,-1060.7231
-218.91043,240.7184
-217.88948,-1180.4869
-216.86853,329.5436
-215.84758,-598.4125
-214.82663,-118.7782
-213.80568,-1056.7385
-212.78473,-1279.8743
-211.76378,-169.895
-210.74283,-127.4839
-209.72186,-163.942
-208.70091,248.6254
-207.67996,-543.4894
-206.65901,76.9392
-205.63806,-385.2724
-204.61711,-952.633
-203.59616,579.0867
-202.57521,-1371.3757
-201.55426,-592.165
-200.53329,-869.6177
-199.51234,-521.1547
-198.49139,108.9426
-197.47044,-1176.2219
-196.44949,-2.049
-195.42854,-755.0068
-194.40759,-182.8727
-193.38664,-1055.3494
-192.36569,-792.4434
-191.34473,-946.9095
-190.32378,-1002.634
-189.30283,-861.2377
-188.28188,-425.1233
-187.26093,-636.6349
-186.23997,-250.8996
-185.21902,-709.8416
-184.19807,-1443.349
-183.17712,-1091.1263
-182.15616,-717.0264
-181.13521,586.297
-180.11426,-841.9218
-179.09331,-696.5905
-178.07236,-524.7202
-177.05141,-177.0742
-176.03046,-940.1862
-175.00951,-1504.8706
-173.98856,-1266.3782
-172.96759,-1120.4719
-171.94664,-607.0898
-170.92569,284.0131
-169.90474,118.42
-168.88379,-6.4301
-167.86284,-687.2476
-166.84189,-1142.7233
-165.82094,-752.5996
-164.79999,884.6996
-163.77902,-794.6028
-162.75807,-367.4433
-161.73712,-447.6833
-160.71617,-679.8503
-159.69522,423.2584
-158.67427,604.8666
-157.65332,-961.3018
-156.63237,-969.6125
-155.61142,-1049.201
-154.59045,-800.1947
-153.5695,-399.3603
-152.54855,19.701
-151.5276,-620.9653
-150.50665,-784.6213
-149.4857,-1158.8361
-148.46475,-1056.264
-147.4438,-1816.1079
-146.42285,-804.2403
-145.40189,-56.1663
-144.38094,-568.8234
-143.35999,-167.8333
-142.33904,-1368.2053
-141.31808,-336.9069
-140.29713,-603.1887
-139.27618,-177.8586
-138.25523,-144.5171
-137.23428,-680.1817
-136.21332,-882.4991
-135.19237,63.4899
-134.17142,-825.7977
-133.15047,-673.9668
-132.12952,-549.441
-131.10857,-252.8961
-130.08762,-199.089
-129.06667,-1403.7487
-128.04572,-5.7419
-127.02476,-897.6392
-126.00381,-2009.3813
-124.98286,-1346.3901
-123.9619,-1260.0004
-122.94095,-774.1853
-121.92,-688.4965
-120.89905,-1097.3569
-119.87809,-556.6655
-118.85714,15.6569
-117.83619,160.8311
-116.81524,-1265.1589
-115.79429,-323.2764
-114.77333,-37.1039
-113.75238,-35.9895
-112.73143,-35.9725
-111.71048,-36.107
-110.68952,-36.5714
-109.66857,-32.7652
-108.64762,-35.3452
-107.62667,-36.5134
-106.60572,-36.3675
-105.58476,-35.2347
-104.56381,-20.9174
-103.54286,-20.671
-102.52191,-19.5778
-101.50095,-12.9466
-100.48,-21.2417
-99.45905,-118.4214
-98.4381,-42.0103
-97.41715,-35.0648
-96.39619,-31.3633
-95.37524,-32.8459
-94.35429,-32.6519
-93.33334,-34.4318
-92.31239,-34.6867
-91.29144,-35.0464
-90.27048,-32.5372
-89.24953,-34.6995
-88.22858,-34.9289
-87.20763,-35.6978
-86.18668,-36.1041
-85.16573,-34.2194
-84.14478,-35.7601
-83.12382,-34.7292
-82.10287,-35.5689
-81.08192,-34.4177
-80.06097,-35.8209
-79.04002,-35.4485
-78.01906,-112.3693
-76.99811,-30.9173
-75.97716,-34.817
-74.95621,-35.5661
-73.93525,-34.9841
-72.9143,-36.8405
-71.89335,-34.9416
-70.8724,-33.3571
-69.85145,-33.9561
-68.83049,-34.2124
-67.80954,-34.6173
-66.78859,-36.6521
-65.76764,-35.8422
-64.74668,-35.6539
-63.72573,-34.1543
-62.70478,-35.2885
-61.68383,-42.2596
-60.66288,-36.376
-59.64193,-35.988
-58.62097,-36.2783
-57.60002,-35.2914
-56.57907,-34.5904
-55.55812,-35.5831
-54.53717,-34.9189
-53.51621,-34.9543
-52.49526,-35.2956
-51.47431,-35.6312
-50.45336,-35.2163
-49.4324,-35.3338
-48.41145,-34.9034
-47.3905,-35.0917
-46.36955,-34.7165
-45.3486,-35.1922
-44.32764,-35.9116
-43.30669,-35.3395
-42.28574,-33.3472
-41.26479,-35.5731
-40.24384,-35.1313
-39.22289,-34.3327
-38.20193,-34.303
-37.18098,-35.2814
-36.16003,-35.5816
-35.13908,-36.1254
-34.11813,-35.5278
-33.09717,-35.4117
-32.07622,-34.8354
-31.05527,-34.834
-30.03432,-34.1274
-29.01336,-34.5154
-27.99241,-35.4372
-26.97146,-34.7405
-25.95051,-34.4602
-24.92956,-34.9317
-23.90861,-34.8014
-22.88765,-36.4567
-21.8667,-34.1925
-20.84575,-35.0167
-19.8248,-35.4967
-18.80384,-34.5225
-17.78289,-36.1721
-16.76194,-35.5717
-15.74099,-39.1401
-14.72004,-35.0464
-13.69909,-35.3055
-12.67813,-35.7884
-11.65718,-33.9192
-10.63623,-36.0489
-9.61528,-100.0868
-8.59433,-326.0702
-7.57337,113.7386
-6.55242,-1039.8129
-5.53147,-1026.3762
-4.51052,-914.7178
-3.48956,-489.9456
-2.46861,-357.3811
-1.44766,-210.8617
-0.42671,-604.2011
0.59424,-1158.7043
1.6152,-837.0479
2.63615,1262.1726
3.6571,-416.4346
4.67805,-380.5952
5.699,33.755
6.71995,-36.0857
7.74091,-93.4443
8.76186,-37.8728
9.78281,-37.6519
10.80376,-35.069
11.82471,-38.9433
12.84567,-37.5414
13.86662,-37.5527
14.88757,-39.3284
15.90852,-3.2342
16.92948,-36.8221
17.95043,-36.8546
18.97138,-36.6111
19.99233,-36.0277
21.01328,-37.0416
22.03424,-37.2455
23.05519,-36.1211
24.07614,-36.7187
25.09709,-35.6666
26.11804,-36.9722
27.13899,-54.8579
28.15995,-36.8461
29.1809,-36.8277
30.20185,-37.9436
31.2228,-36.6267
32.24376,-36.5757
33.26471,-36.6309
34.28566,-36.2967
35.30661,-36.3123
36.32756,-36.6536
37.34851,-36.7442
38.36947,-36.1679
39.39042,-35.4188
40.41137,-36.2812
41.43232,-34.9218
42.45327,-36.2415
43.47423,-37.0812
44.49518,-36.6493
45.51613,-36.5105
46.53708,-36.2967
47.55804,-36.4228
48.57899,-37.0373
49.59994,-36.5474
50.62089,-35.6114
